T2085,Mechanic3,10000,1,1129,Tsk 2085 M679-T1,3,Mechanic 3,Mod674,Mod674,Mod679,Mod678,Mechanic,C1,,2016/04/23 08:42:00,0.0125,2016/04/23 09:00:00,T2134,5,,,Mod679
T1762,Mechanic8,10000,1,2335,Tsk 1762 M701-T1,8,Mechanic 8,Mod674,Mod674,Mod701,Mod699,Mechanic,C1,,2016/04/23 08:49:00,0.0263888888889,2016/04/23 09:27:00,T1925,3,,,Mod701
T1755,Electrician1,10000,1,532,Tsk 1755 M590-T2,1,Electrician 1,Mod334,Mod334,Mod590,Mod576,Electrician,,,2016/04/23 08:53:00,0.00555555555556,2016/04/23 09:00:59,T2300,4,,,Mod590
T1997,Tester2,10000,1,13128,Tsk 1997 M525-T2,2,Tester 2,Mod522,Mod522,Mod525,Mod523,Tester,,,2016/04/23 08:58:00,0.151388888889,2016/04/23 12:36:00,T1711,3,FC99(1.0),,Mod525
T2084,Mechanic4,10000,1,2258,Tsk 2084 M679-T2,4,Mechanic 4,Mod674,Mod674,Mod679,Mod678,Mechanic,C1,,2016/04/23 09:00:00,0.0256944444444,2016/04/23 09:36:59,T1966,3,,,Mod679
T2134,Mechanic3,10000,1,4968,Tsk 2134 M764-T1,3,Mechanic 3,Mod334,Mod334,Mod764,Mod763,Mechanic,C1,,2016/04/23 09:00:00,0.0569444444444,2016/04/23 10:21:59,T2259,6,,,Mod764
T1754,Sealer2,10000,1,532,Tsk 1754 M590-T3,2,Sealer 2,Mod334,Mod334,Mod590,Mod576,Sealer,,,2016/04/23 09:00:59,0.00555555555556,2016/04/23 09:09:00,T2197,3,,,Mod590
T2300,Electrician1,10000,1,1129,Tsk 2300 M825-T1,1,Electrician 1,Mod334,Mod334,Mod825,Mod824,Electrician,,,2016/04/23 09:00:59,0.0125,2016/04/23 09:18:59,T1939,5,,,Mod825
T2138,Mechanic1,10000,1,1580,Tsk 2138 M830-T1,1,Mechanic 1,Mod334,Mod334,Mod830,Mod828,Mechanic,C1,Lunch break,2016/04/23 09:02:59,0.0180555555556,2016/04/23 09:29:00,T2302,4,FC129(1.0),,Mod830
T1977,Tester1,10000,1,3202,Tsk 1977 M423-T2,1,Tester 1,Mod406,Mod406,Mod423,Mod418,Tester,,,2016/04/23 09:02:59,0.0368055555556,2016/04/23 09:56:00,T2243,2,FC130(1.0),,Mod423
T1922,Sealer3,10000,1,532,Tsk 1922 M372-T1,3,Sealer 3,Mod370,Mod370,Mod372,Mod371,Sealer,,,2016/04/23 09:18:59,0.00555555555556,2016/04/23 09:27:00,T1745,4,FC119(1.0),,Mod372
T1939,Electrician1,10000,1,1129,Tsk 1939 M549-T1,1,Electrician 1,Mod334,Mod334,Mod549,Mod548,Electrician,,,2016/04/23 09:18:59,0.0125,2016/04/23 09:36:59,T2081,6,,,Mod549
T1925,Mechanic8,10000,1,6775,Tsk 1925 M372-T2,8,Mechanic 8,Mod370,Mod370,Mod372,Mod371,Mechanic,C1,,2016/04/23 09:27:00,0.0777777777778,2016/04/23 11:18:59,T1724,4,FC119(1.0),,Mod372
T2302,Mechanic1,10000,1,2335,Tsk 2302 M700-T1,1,Mechanic 1,Mod674,Mod674,Mod700,Mod699,Mechanic,C1,,2016/04/23 09:29:00,0.0263888888889,2016/04/23 10:06:59,T819,5,,,Mod700
T2106,Mechanic7,10000,1,1749,Tsk 2106 M539-T1,7,Mechanic 7,Mod334,Mod334,Mod539,Mod538,Mechanic,C1,,2016/04/23 09:34:59,0.0201388888889,2016/04/23 10:03:59,T2136,4,,,Mod539
T2261,Sealer4,10000,1,3725,Tsk 2261 M396-T3,4,Sealer 4,Mod334,Mod334,Mod396,Mod370,Sealer,,,2016/04/23 09:34:59,0.0430555555556,2016/04/23 10:37:00,T2169,3,FC94(1.0),,Mod396
T2086,Mechanic5,10000,1,1129,Tsk 2086 M679-T3,5,Mechanic 5,Mod674,Mod674,Mod679,Mod678,Mechanic,C1,,2016/04/23 09:36:59,0.0125,2016/04/23 09:54:59,T2105,4,,,Mod679
T2081,Electrician1,10000,1,1355,Tsk 2081 M390-T1,1,Electrician 1,Mod370,Mod370,Mod390,Mod388,Electrician,,,2016/04/23 09:36:59,0.0152777777778,2016/04/23 09:59:00,T2205,7,FC119(1.0),,Mod390
T1966,Mechanic4,10000,1,2258,Tsk 1966 M553-T1,4,Mechanic 4,Mod334,Mod334,Mod553,Mod550,Mechanic,C1,,2016/04/23 09:36:59,0.0256944444444,2016/04/23 10:14:00,T2168,4,,,Mod553
T801,Mechanic2,10000,1,1448,Tsk 801 M800-T1,2,Mechanic 2,Mod334,Mod334,Mod800,Mod795,Mechanic,C1,,2016/04/23 09:39:59,0.0166666666667,2016/04/23 10:03:59,T2164,3,,,Mod800
T2210,Assistant1,10000,1,7516,Tsk 2210 M591-T1,1,Assistant 1,Mod334,Mod334,Mod591,Mod576,Assistant,,,2016/04/23 09:50:59,0.0868055555556,2016/04/23 11:56:00,,2,FC113(2.0),,Mod591
T2210,Assistant2,10000,1,7516,Tsk 2210 M591-T1,2,Assistant 2,Mod334,Mod334,Mod591,Mod576,Assistant,,,2016/04/23 09:50:59,0.0868055555556,2016/04/23 11:56:00,,2,FC113(2.0),,Mod591
T2197,Sealer2,10000,1,4516,Tsk 2197 M728-T1,2,Sealer 2,Mod334,Mod334,Mod728,Mod674,Sealer,,,2016/04/23 09:54:59,0.0520833333333,2016/04/23 11:09:59,T1924,4,,,Mod728
T2243,Tester1,10000,1,5123,Tsk 2243 M654-T2,1,Tester 1,Mod334,Mod334,Mod654,Mod653,Tester,,,2016/04/23 09:56:00,0.0590277777778,2016/04/23 11:20:59,T1916,3,FC100(1.0),,Mod654
T2205,Electrician1,10000,1,1355,Tsk 2205 M387-T1,1,Electrician 1,Mod370,Mod370,Mod387,Mod385,Electrician,,,2016/04/23 09:59:00,0.0152777777778,2016/04/23 10:21:00,T1710,8,FC138(1.0),,Mod387
T821,Mechanic6,10000,1,934,Tsk 821 M820-T1,6,Mechanic 6,Mod334,Mod334,Mod820,Mod795,Mechanic,C1,,2016/04/23 09:59:59,0.0104166666667,2016/04/23 10:15:00,T2083,2,,,Mod820
T1745,Sealer3,10000,1,1410,Tsk 1745 M373-T3,3,Sealer 3,Mod370,Mod370,Mod373,Mod371,Sealer,,,2016/04/23 09:59:59,0.0159722222222,2016/04/23 10:23:00,T2267,5,FC138(1.0),,Mod373
T2136,Mechanic7,10000,1,2348,Tsk 2136 M704-T1,7,Mechanic 7,Mod674,Mod674,Mod704,Mod702,Mechanic,C1,,2016/04/23 10:03:59,0.0270833333333,2016/04/23 10:42:59,T1823,5,FC92(1.0),,Mod704
T2105,Mechanic5,10000,1,2822,Tsk 2105 M539-T2,5,Mechanic 5,Mod334,Mod334,Mod539,Mod538,Mechanic,C1,,2016/04/23 10:03:59,0.0326388888889,2016/04/23 10:51:00,T2313,5,,,Mod539
T2164,Mechanic2,10000,1,4366,Tsk 2164 M505-T1,2,Mechanic 2,Mod334,Mod334,Mod505,Mod406,Mechanic,C1,,2016/04/23 10:03:59,0.05,2016/04/23 11:15:59,T2258,4,FC104(1.0),,Mod505
T819,Mechanic1,10000,1,6071,Tsk 819 M818-T1,1,Mechanic 1,Mod334,Mod334,Mod818,Mod795,Mechanic,C1,,2016/04/23 10:06:59,0.0701388888889,2016/04/23 11:47:59,T864,6,,,Mod818
T2168,Mechanic4,10000,1,2348,Tsk 2168 M703-T1,4,Mechanic 4,Mod674,Mod674,Mod703,Mod702,Mechanic,C1,,2016/04/23 10:14:00,0.0270833333333,2016/04/23 10:53:00,T811,5,FC115(1.0),,Mod703
T2083,Mechanic6,10000,1,1897,Tsk 2083 M2082-T2,6,Mechanic 6,Mod334,Mod334,Mod2082,Mod1715,Mechanic,C1,,2016/04/23 10:15:00,0.0215277777778,2016/04/23 10:46:00,T2198,3,,,Mod2082
T1710,Electrician1,10000,1,1580,Tsk 1710 M394-T1,1,Electrician 1,Mod334,Mod334,Mod394,Mod370,Electrician,,,2016/04/23 10:21:00,0.0180555555556,2016/04/23 10:46:59,T2011,9,FC129(1.0),,Mod394
T2259,Mechanic3,10000,1,36130,Tsk 2259 M396-T4,3,Mechanic 3,Mod334,Mod334,Mod396,Mod370,Mechanic,C1,,2016/04/23 10:37:00,0.418055555556,2016/04/23 20:38:59,T1929,7,FC94(1.0),,Mod396
T2135,Sealer1,10000,1,798,Tsk 2135 M704-T2,1,Sealer 1,Mod674,Mod674,Mod704,Mod702,Sealer,,,2016/04/23 10:42:59,0.00902777777778,2016/04/23 10:55:59,T2267,4,FC92(1.0),,Mod704
T1823,Mechanic7,10000,1,3387,Tsk 1823 M1822-T1,7,Mechanic 7,Mod334,Mod334,Mod1822,Mod1715,Mechanic,C1,,2016/04/23 10:42:59,0.0388888888889,2016/04/23 11:38:59,T864,6,,,Mod1822
T2011,Electrician1,10000,1,1807,Tsk 2011 M750-T1,1,Electrician 1,Mod334,Mod334,Mod750,Mod674,Electrician,,,2016/04/23 10:46:59,0.0208333333333,2016/04/23 11:17:00,T1749,10,FC122(1.0),,Mod750
